
E0-001-094690404-3,HCL Concerts - Featuring the legendary Violin Sisters,"Epicentre, Sector 44, Gurgaon",702,45,concerts
E0-001-091727690-4,Shaan: Live in concert | Abish Mathew: Humor Gig,"NSIT, Dwarka",957,14,concerts
E0-001-091028175-8,Sitar Maestro Pandit Prateek Chaudhuri Live in Concert,India Habitat Centre,943,40,concerts
E0-001-092553164-8,"Korean Cultural Centre, India is organizing an event, 'Liederabend' gracing the presence of critically acclaimed Austrian pianist, Helmut Deutsch and the well renowned South Korean soprano singer, Sooyeon Lee",FICCI Auditorium,551,38,concerts
E0-001-094910277-0,Manthan,India Habitat Centre,839,49,festivals
E0-001-092614671-1,GALLERYSKE New Delhi: Devika Daulet Singh and Dia Mehta Bhupal | In Conversation,GallerySKE,557,36,festivals
E0-001-089935641-2,"Swami Haridas Tansen Sangeet Nritya Mahotsava (Ustaad Amjad Ali Khan, Pt. Hariprasad Chaurasia, Anoushka Shankar & many more)","Modern School, Barakhamba Road, New Delhi",713,45,festivals
E0-001-091198659-5,Moksha 2016 | NSIT Delhi,Netaji Subhas Institute Of Technology,906,22,festivals
E0-001-091024858-6,Events of Classical Music,"Zorba The Buddha, Mehrauli-Gurgaon Road",857,45,festivals
E0-001-090894106-0@2016101814,The Wonders of Rajasthan: Past & Present,Serene Journeys,622,12,festivals
E0-001-092553164-8,"Korean Cultural Centre, India is organizing an event, 'Liederabend' gracing the presence of critically acclaimed Austrian pianist, Helmut Deutsch and the well renowned South Korean soprano singer, Sooyeon Lee",FICCI Auditorium,675,49,festivals
E0-001-094905187-4,Self Portrait to Selfie: Redefining Image Making,India Habitat Centre,991,44,festivals
E0-001-094416597-8,"Standup Comedy at Zai, GK2",Zai,988,33,comedy
E0-001-091727690-4,Shaan: Live in concert | Abish Mathew: Humor Gig,"NSIT, Dwarka",657,40,comedy
E0-001-094240493-4,+919899730334 Adult Service And Female Escort Call Girls Women Seeking Men in Delhi Ncr,Hotel Radisson,968,10,comedy
E0-001-094952543-0,Aawaaz (Duo) LIVE at Locale - A 'StarClinch.com' Presentation!,"Love Hotel at AI , Second Floor, MGF Metropolitan Mall, District Centre, Saket New Delhi.",718,38,family
E0-001-093857103-5,COXCO Transmission,USA,694,29,family
E0-001-092127513-3@2016072210,Govt. Achievements and Schemes Expo 2016,Paragati Maidan,607,11,family
E0-001-092531725-1,River Rafting in Rishikesh,delhi,723,43,family
E0-001-091602796-7,Madhubani Painting Hands on Workshop,"Zorba The Buddha, Mehrauli-Gurgaon Road",521,22,family
E0-001-094805670-2,"The University of Nottingham Pre-Departure Briefing Session, Delhi","24/7 The LaLit,",602,30,family
E0-001-091528269-1,Spiti Women Tour,Indira Gandhi International Airport,855,47,family
E0-001-094269457-3,DJ Henry GQ,Unitech Golf & Country Club,684,41,film
E0-001-091198659-5,Moksha 2016 | NSIT Delhi,Netaji Subhas Institute Of Technology,922,48,film
E0-001-094905187-4,Self Portrait to Selfie: Redefining Image Making,India Habitat Centre,658,26,film
E0-001-092125911-7,Food & Technology Expo 2016,Paragati Maidan,949,20,food 
E0-001-091235996-5,"Hotel, Food and Beverage India",Pragati Maidan Exhibition Centre,537,46,food 
E0-001-091680305-7,Food Trade Expo,Paragati Maidan,830,41,food 
E0-001-094951859-1,Saturday Live with Zephyr Band,Vatika Towers,804,14,food 
E0-001-091894185-6,The Food and Hotel Show India,Paragati Maidan,677,43,food 
E0-001-093345974-7,Saturday Live: Performance by Moksha,Vatika Towers,763,23,food 
E0-001-094019340-5,Street Jammers Performing Live at Boombox Cafe,Boombox Cafe,946,47,food 
E0-001-093345696-2@2016120512,Mango Special at Yauatcha,Le Meridien - New Delhi,713,30,food 
E0-001-090249975-0@2016121216,Chocolates making Workshop,"Qafe Pasha, Punjabi Bagh",669,35,food 
E0-001-094945088-0,"Jaal The Trio at Boombox, Gurgaon",Boombox Cafe,568,31,food 
E0-001-092125911-7,Food & Technology Expo 2016,Paragati Maidan,652,19,food 
E0-001-091235996-5,"Hotel, Food and Beverage India",Pragati Maidan Exhibition Centre,983,37,food 
E0-001-091680305-7,Food Trade Expo,Paragati Maidan,784,10,food 
E0-001-094951859-1,Saturday Live with Zephyr Band,Vatika Towers,696,44,food 
E0-001-091894185-6,The Food and Hotel Show India,Paragati Maidan,744,36,food 
E0-001-093345974-7,Saturday Live: Performance by Moksha,Vatika Towers,731,32,food 
E0-001-094019340-5,Street Jammers Performing Live at Boombox Cafe,Boombox Cafe,724,39,food 
E0-001-093345696-2@2016120512,Mango Special at Yauatcha,Le Meridien - New Delhi,867,20,food 
E0-001-090249975-0@2016121216,Chocolates making Workshop,"Qafe Pasha, Punjabi Bagh",838,25,food 
E0-001-094945088-0,"Jaal The Trio at Boombox, Gurgaon",Boombox Cafe,656,35,food 
E0-001-093345696-2@2016120512,Mango Special at Yauatcha,Le Meridien - New Delhi,785,17,food 
E0-001-094946624-3,PCO_WKND,PCO,874,20,food 
E0-001-091007607-7,CartonTech,Paragati Maidan,872,50,food 
E0-001-091581621-2,CartontTech 2016,Paragati Maidan,934,38,food 
E0-001-080777416-3,National Seminar & Exhibition on Spices & Herbs,Constitution Club of India,691,43,food 
E0-001-089464583-4,Fi India & Hi,Paragati Maidan,951,27,food 
E0-001-091135179-9,Private Label Products Show,Paragati Maidan,665,26,food 
E0-001-094747274-5,Meditation Carnival: Journey Beyond Mind,Pitampura,818,50,food 
E0-001-094722135-4,Meditation Carnival: Journey Beyond Mind,GK 2,789,34,food 
E0-001-091899746-6@2016071612,The Bizarre bazaar,Safdarjung Enclave,851,27,food 
E0-001-092531725-1,River Rafting in Rishikesh,delhi,793,25,holiday
E0-001-089687386-6,International Conference on Interventional Cardiology,Holiday Inn,610,32,holiday
E0-001-094240493-4,+919899730334 Adult Service And Female Escort Call Girls Women Seeking Men in Delhi Ncr,Hotel Radisson,946,41,holiday
E0-001-093622321-3,FASHION PHOTOGRAPHY AT DCOP,delhi,939,20,holiday
E0-001-091528269-1,Spiti Women Tour,Indira Gandhi International Airport,932,11,holiday
E0-001-090894106-0@2016101814,The Wonders of Rajasthan: Past & Present,Serene Journeys,545,39,holiday
E0-001-094952543-0,Aawaaz (Duo) LIVE at Locale - A 'StarClinch.com' Presentation!,"Love Hotel at AI , Second Floor, MGF Metropolitan Mall, District Centre, Saket New Delhi.",877,37,holiday
E0-001-094953106-0,Suhail Kapur Live and Awesome,Greater Kailash,994,18,holiday
E0-001-094269457-3,DJ Henry GQ,Unitech Golf & Country Club,638,36,holiday
E0-001-094792596-4@2016081409,CRSU B.Ed. Admission 2017 - B.Ed. Admission 2017 - B.Ed 2017,Winsoft Education Technologies,921,48,education
E0-001-094914776-4@2016081009,Sharda University B.Tech Admission 2016-2017,Winsoft Education Technologies,931,46,education
E0-001-094943472-1,IDP's Australian Education Fair,Leisure Valley Ground,940,43,education
E0-001-094960683-2,IDP's Australian Education fair,Le Meridien - New Delhi,855,42,education
